sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
4.164,3,3,0.001,0.0,0.008
4.203,3,3,0.007,0.0,0.01
4.294,3,3,0.032,0.0,0.029
4.399,3,3,0.062,0.0,0.037
4.494,3,3,0.089,0.0,0.044
4.598,3,3,0.119,0.0,0.05
4.702,3,3,0.146,0.0,0.053
4.796,3,3,0.172,0.0,0.056
4.894,3,3,0.199,0.0,0.058
5.01,3,3,0.232,0.0,0.062
5.094,3,3,0.253,0.0,0.065
5.194,3,3,0.279,0.0,0.07
5.301,3,3,0.308,0.0,0.075
5.396,3,3,0.331,0.0,0.08
5.502,3,3,0.359,0.0,0.087
5.594,3,3,0.382,0.0,0.096
5.695,3,3,0.408,0.0,0.11
5.801,3,3,0.434,0.0,0.128
5.9,3,3,0.458,0.0,0.145
5.995,3,3,0.481,0.0,0.163
6.094,3,3,0.505,0.0,0.182
6.197,3,3,0.53,0.0,0.205
6.294,3,3,0.553,0.0,0.228
6.399,3,3,0.577,0.0,0.257
6.494,3,3,0.599,0.0,0.282
6.603,3,3,0.624,0.0,0.316
6.703,3,3,0.647,0.0,0.35
6.797,3,3,0.667,0.0,0.383
6.896,3,3,0.69,0.0,0.422
6.995,3,3,0.711,0.001,0.464
7.097,3,3,0.733,0.001,0.506
7.194,3,3,0.754,0.001,0.547
7.297,3,3,0.776,0.001,0.593
7.412,3,3,0.8,0.001,0.649
7.496,3,3,0.817,0.001,0.692
7.603,3,3,0.839,0.001,0.753
7.699,3,3,0.858,0.002,0.81
7.799,3,3,0.878,0.002,0.872
7.902,3,3,0.899,0.002,0.944
8.0,3,3,0.917,0.002,1.011
8.093,3,3,0.935,0.002,1.081
8.194,3,3,0.954,0.003,1.16
8.297,3,3,0.973,0.003,1.25
8.396,3,3,0.991,0.003,1.336
8.496,3,3,1.009,0.003,1.438
8.597,3,3,1.029,0.004,1.555
8.697,3,3,1.045,0.004,1.658
8.795,3,3,1.062,0.004,1.78
8.895,3,3,1.079,0.005,1.902
8.999,3,3,1.096,0.005,2.036
9.094,3,3,1.111,0.005,2.168
9.195,3,3,1.128,0.006,2.321
9.295,3,3,1.143,0.006,2.467
9.401,3,3,1.162,0.006,2.653
9.495,3,3,1.177,0.007,2.818
9.594,3,3,1.19,0.007,2.975
9.694,3,3,1.204,0.008,3.15
9.795,3,3,1.219,0.008,3.344
9.911,3,3,1.237,0.009,3.58
9.995,3,3,1.248,0.009,3.748
10.096,3,3,1.262,0.01,3.962
