trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
1,160,15,2000,251.49397,345.69287109375,89.9419903178479,2027,325.08606,716.7119140625,65.27994378797712
2,180,101,3906,330.2527,725.4885559082031,66.55749816670635,3936,342.24933,735.9266052246094,12.66651980710126
3,160,15,5189,342.24933,735.9266052246094,12.778227473878289,5226,483.90588,769.4976196289062,4.555297641577837
4,180,101,6578,484.11072,769.1100769042969,4.556356451308778,6636,494.73062,760.0380554199219,-47.16803468038176
5,160,15,7861,494.9372,762.2225036621094,-47.69972155722277,7895,658.3644,549.1857299804688,-61.44071930690379
6,83,85,9345,677.544,511.692138671875,-63.03050217298824,9348,711.05597,440.90673828125,-13.738291131810472
7,160,15,10566,710.8129,440.830078125,-13.679832340322006,10595,851.2793,406.163330078125,-21.280337687357555
