trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
1,160,15,2000,380.6153,255.68927001953125,87.62488929579197,2021,442.8936,573.042724609375,68.00240743412277
2,180,101,3758,464.70752,622.5335693359375,65.4425294338202,3794,496.54245,639.1660766601562,-58.16524584762522
3,160,15,5004,495.21698,639.2403564453125,-57.81070543770635,5046,532.04443,580.8505249023438,-62.40018181634131
4,160,15,6257,532.45465,580.362548828125,-62.710868468013366,6306,562.60095,521.4736328125,-66.7740303774567
5,160,15,7512,563.3159,521.5515747070312,-66.7369126545981,7516,589.2477,459.26947021484375,-70.5143950783039
6,83,85,8766,588.62103,460.082275390625,-70.48707483543316,8780,570.8417,465.737548828125,50.89596745698443
