trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
60,180,90,82528,437.39532,390.0637817,153.7272415,83359,413.27405,415.4241333,118.5764259
61,90,101,83959,415.25058,415.2172852,119.865982,84878,421.2594,393.8546143,95.78240792
62,90,85,85533,421.5646,394.3553467,95.73325469,86361,412.803,417.1895142,120.807412
63,90,90,86953,421.5646,394.3553467,95.73325469,87748,413.02322,416.4769287,120.7925784
64,160,15,88369,413.17935,417.5837402,120.8399894,89229,383.13687,471.8277588,115.2674764
65,0,180,89826,384.0657,472.1671143,115.228443,90644,411.99527,411.9308472,118.897957
66,83,85,91244,412.11142,410.4556274,118.591497,92067,416.9016,404.6620483,175.2107822
67,180,101,92659,416.71027,403.4989624,175.8592671,93528,408.90018,413.8856812,121.2080229
68,83,90,94112,407.6193,413.921936,121.1313306,94936,431.68585,387.8528442,154.9457016
69,180,90,95566,431.7976,387.7410278,155.0018001,96395,431.68585,387.8528442,154.9457016
70,90,101,96957,408.08972,412.1627808,120.8107321,97778,416.36075,390.1919556,98.62312151
71,90,85,98404,416.42993,392.8052979,98.67954516,99228,407.9741,413.6398926,121.7788037
72,90,90,99821,407.99277,414.3145142,121.7999609,100645,407.6193,413.921936,122.7560874
73,160,15,101239,408.20526,414.001709,122.7962654,102039,373.6084,471.4289551,118.86267
74,0,180,102664,373.95502,471.1347046,119.536132,103523,409.37106,414.4298706,122.4148216
75,83,85,104113,408.99643,414.0371094,122.3825505,104935,416.331,408.7074585,178.8922836
76,180,101,105529,416.6871,408.4228516,178.8522655,106337,407.27216,418.3615112,122.3724181
77,83,90,106945,407.27216,418.3615112,123.7307286,107781,432.32507,393.3174438,157.5949717
78,180,90,108367,432.32507,393.3174438,157.5949717,109236,407.51096,419.557373,123.4768351
79,90,101,109821,407.3115,418.2388916,123.4535076,110646,416.921,396.4378052,100.750242
80,90,85,111240,417.23068,396.9403687,100.695753,112073,407.51096,419.557373,124.3566087
81,90,90,112660,408.31952,417.9598999,124.0264903,113488,407.51096,419.557373,124.3566087
82,160,15,114016,407.29562,417.5601196,123.43181,114868,373.6991,474.1687012,121.4624371
83,0,180,115494,372.27136,474.7599487,119.8898334,116361,409.37772,418.5841675,122.7597582
84,83,85,116950,408.5352,419.9581299,124.332499,117772,416.01617,411.5157471,-179.5977567
85,180,101,118367,417.4806,411.7734985,-179.5445313,119229,406.13168,419.4434814,124.3706825
86,83,90,119819,406.13168,419.4434814,124.9870001,120650,433.88144,396.7489014,159.8418228
87,180,90,121240,433.25595,396.7954712,159.5140974,122071,406.00842,420.0862427,126.0141357
88,90,101,122660,405.7985,418.9261475,125.6584044,123484,415.9904,399.4832764,102.3140142
89,90,85,124074,415.74692,398.2923584,102.1013278,124939,406.38373,421.3195801,126.4179825
90,90,90,125532,405.6609,421.2108765,126.3770143,126359,406.11685,420.861145,126.3851349
91,160,15,126951,406.38373,421.3195801,127.628434,127875,353.26337,494.364624,121.5891313
92,0,180,128469,353.60336,494.0732422,122.2484074,129396,403.15625,417.2184448,124.856701
93,83,85,129984,403.2746,415.7393188,124.1023527,130946,413.4681,409.9518433,-155.8028892
94,180,101,131539,413.82385,409.668396,-156.3067551,132494,397.97113,417.2788086,127.6957835
95,83,90,133126,397.97113,417.2788086,127.6957835,134080,439.00256,390.0065918,173.9152391
96,180,90,134702,439.07306,391.4535522,174.45595,135665,439.00256,390.0065918,173.9152391
97,90,101,136222,398.9978,417.6712036,128.2665083,137149,409.68866,387.4556885,93.77363095
98,90,85,137738,410.2482,386.7609253,93.74983444,138669,397.64404,417.4325562,128.7978897
99,90,90,139260,397.6181,417.5560913,128.705002,140182,397.64404,417.4325562,128.7978897
100,160,15,140772,398.3342,417.6711426,128.7443735,141735,343.54025,492.0458984,124.7795985
101,0,180,142327,343.54025,492.0458984,125.4195928,143293,400.51498,415.5112915,128.3336048
102,83,85,143908,399.68362,415.46698,128.8809578,144869,411.0953,410.1125488,-152.444606
103,180,101,145499,411.6679,409.3883667,-152.266889,146457,395.57147,417.442749,131.8695065
104,83,90,147076,395.00195,415.7210693,132.0384821,148043,437.24072,393.088562,178.3061739
105,180,90,148667,437.41214,390.8400879,177.4727032,149628,393.62027,415.6057129,130.9050567
106,90,101,150243,395.57147,417.442749,132.4406338,151204,408.2803,388.6873169,99.50463353
107,90,85,151800,408.58923,389.1848755,98.69301454,152728,392.33487,418.9707642,133.4101698
108,90,90,153318,391.99332,418.4534302,133.4696896,154275,393.01712,418.1758423,134.5528888
