trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
1,4.638,100,85,391.51828,185.6468505859375,94.1290025958475
1,4.735,100,85,391.4382,185.5294189453125,93.47321880488039
1,4.833,100,85,391.4382,185.5294189453125,93.47321880488039
1,4.87,100,85,391.4382,185.5294189453125,93.47321880488039
1,4.935,100,85,391.4382,185.5294189453125,93.47321880488039
1,4.993,100,85,390.3119,231.88201904296875,88.14073742158054
1,5.1,100,85,390.3119,231.88201904296875,88.14073742158054
1,5.166,100,85,392.656,266.86871337890625,86.09276687368161
1,5.262,100,85,392.656,266.86871337890625,86.09276687368161
1,5.301,100,85,392.656,266.86871337890625,86.09276687368161
1,5.333,100,85,392.656,266.86871337890625,86.09276687368161
1,5.423,100,85,395.99902,321.03082275390625,83.70953231805628
1,5.501,100,85,395.99902,321.03082275390625,83.70953231805628
1,5.566,100,85,395.99902,321.03082275390625,83.70953231805628
1,5.622,100,85,400.48492,367.09661865234375,81.44650240792363
1,5.724,100,85,400.48492,367.09661865234375,81.44650240792363
1,5.762,100,85,400.48492,367.09661865234375,81.44650240792363
1,5.796,100,85,400.48492,367.09661865234375,81.44650240792363
1,5.849,100,85,410.77164,422.02581787109375,79.11785229152345
1,5.932,100,85,410.77164,422.02581787109375,79.11785229152345
1,5.986,100,85,416.48654,448.02386474609375,77.5507048309322
1,6.068,100,85,416.48654,448.02386474609375,77.5507048309322
1,6.102,100,85,416.48654,448.02386474609375,77.5507048309322
1,6.201,100,85,416.48654,448.02386474609375,77.5507048309322
1,6.26,100,85,416.48654,448.02386474609375,77.5507048309322
1,6.31,100,85,433.58908,519.318359375,74.03025122733125
1,6.418,100,85,439.26312,536.9453125,72.1511591831647
1,6.546,100,85,446.8814,563.5609741210938,71.46953501077371
