trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
1,0.095,90,90,457.0,609.5,0
1,0.129,90,90,457.0,609.5,0
1,0.177,90,90,457.0,609.5,0
1,0.211,90,90,457.0,609.5,0
1,0.242,90,90,457.0,609.5,0
1,0.275,90,90,457.0,609.5,0
1,0.344,90,90,457.0,609.5,0
1,1.762,90,90,582.07294,165.1956787109375,93.50033757840994
1,1.918,90,90,583.06,165.4573974609375,93.53497515944058
1,2.028,90,90,582.3671,164.023681640625,93.37150219498717
1,2.158,90,90,582.3535,165.0166015625,93.53330307021103
1,2.253,90,90,582.29645,163.7713623046875,93.40460120545363
1,2.345,90,90,580.9942,164.261474609375,93.43140022346778
1,2.451,90,90,582.29645,163.7713623046875,93.40460120545363
1,2.581,90,90,582.0341,164.1644287109375,93.36387838594233
1,2.66,90,90,582.0341,164.1644287109375,93.36387838594233
1,2.753,90,90,582.29645,163.7713623046875,93.40460120545363
1,2.88,90,90,581.803,163.9417724609375,93.4458765487368
1,2.975,90,90,582.5779,164.4146728515625,93.41074132692215
1,3.079,90,90,583.00305,164.20947265625,93.4064611740998
2,3.21,180,85,582.4248,165.2705078125,93.50004011825455
2,3.303,180,85,581.38794,167.40185546875,92.77660352390231
2,3.41,180,85,581.76166,182.79931640625,90.57339597312794
2,3.536,180,85,582.32404,217.103271484375,86.7497861339129
2,3.637,180,85,585.408,244.46966552734375,82.29373598060101
2,3.741,180,85,587.90466,263.8118896484375,81.49065303086006
2,3.842,180,85,591.3441,281.34576416015625,79.44451735595909
2,3.935,180,85,596.34155,308.9830322265625,75.51887611657723
2,4.037,180,85,603.6088,328.78546142578125,75.18059709255961
2,4.16,180,85,610.79285,354.403076171875,71.00790869825879
3,4.26,83,85,620.5536,381.46588134765625,69.39913164033482
3,4.366,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.472,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.5,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.53,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.596,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.631,83,85,628.1111,398.70538330078125,68.54259474875559
3,4.665,83,85,628.1111,398.70538330078125,68.54259474875559
4,4.698,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.764,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.797,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.832,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.867,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.935,180,85,628.1111,398.70538330078125,68.54259474875559
4,4.993,180,85,623.87195,391.96734619140625,169.43171295745765
4,5.124,180,85,582.86053,401.21368408203125,169.9077299874108
4,5.218,180,85,555.5257,408.710693359375,167.69545838709905
4,5.295,180,85,555.5257,408.710693359375,167.69545838709905
4,5.354,180,85,527.98083,416.51361083984375,164.60052196030324
4,5.456,180,85,509.6161,422.29022216796875,162.1425411825156
4,5.586,180,85,482.0025,433.10662841796875,160.58565886158158
4,5.686,180,85,455.72723,444.58984375,159.12152840234685
5,5.755,180,101,455.72723,444.58984375,159.12152840234685
5,5.786,180,101,455.72723,444.58984375,159.12152840234685
5,5.818,180,101,455.72723,444.58984375,159.12152840234685
5,5.892,180,101,455.72723,444.58984375,159.12152840234685
5,5.927,180,101,455.72723,444.58984375,159.12152840234685
5,5.957,180,101,455.72723,444.58984375,159.12152840234685
5,5.992,180,101,455.72723,444.58984375,159.12152840234685
5,6.061,180,101,455.72723,444.58984375,159.12152840234685
5,6.122,180,101,455.72723,444.58984375,159.12152840234685
5,6.189,180,101,455.72723,444.58984375,159.12152840234685
6,6.22,180,85,455.72723,444.58984375,159.12152840234685
6,6.26,180,85,455.72723,444.58984375,159.12152840234685
6,6.31,180,85,406.55765,483.33306884765625,68.02795970486632
6,6.414,180,85,406.89758,484.326171875,53.44664224173932
6,6.517,180,85,406.89758,484.326171875,53.44664224173932
6,6.578,180,85,430.68652,512.420166015625,45.76299982640959
6,6.706,180,85,450.26172,533.6961059570312,44.66753716125999
6,6.802,180,85,472.08493,552.8463134765625,42.03394979289363
6,6.904,180,85,485.27402,564.932861328125,38.88810351442496
6,7.0,180,85,501.659,578.846923828125,36.75410126979719
6,7.093,180,85,524.3742,597.0763549804688,34.46570320151834
6,7.2,180,85,539.9786,606.90283203125,33.39276360951666
