trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
1,4.837,100,85,480.61487,260.486572265625,91.1771440721329
1,4.964,100,85,480.28232,260.671142578125,89.25639843293774
1,5.039,100,85,480.28232,260.671142578125,89.25639843293774
1,5.128,100,85,478.96564,295.6014404296875,85.79125360249094
1,5.256,100,85,482.43283,321.23016357421875,84.28510106590959
2,5.356,90,90,486.23578,348.2200927734375,81.23786582593165
2,5.433,90,90,486.23578,348.2200927734375,81.23786582593165
2,5.495,90,90,489.49316,371.8551025390625,78.96321676620224
2,5.566,90,90,489.49316,371.8551025390625,78.96321676620224
2,5.611,90,90,489.49316,371.8551025390625,78.96321676620224
2,5.689,90,90,491.65692,376.90399169921875,76.70231414172211
2,5.788,90,90,491.3333,376.687255859375,77.02787765627136
3,5.891,83,101,491.3333,376.687255859375,77.02787765627136
3,5.951,83,101,491.3333,376.687255859375,77.5118787000509
3,6.038,83,101,491.3333,376.687255859375,77.5118787000509
3,6.124,83,101,487.4696,353.70379638671875,82.14721196460651
3,6.218,83,101,485.10635,334.37652587890625,85.0310504038594
3,6.316,83,101,483.63266,307.23486328125,89.06990922408325
4,6.418,90,90,483.8671,287.92388916015625,93.11905246292646
4,6.541,90,90,486.82678,261.75787353515625,97.84659877397448
4,6.639,90,90,486.647,254.02081298828125,99.08964015488327
4,6.726,90,90,486.647,254.02081298828125,99.08964015488327
4,6.84,90,90,486.97906,253.83843994140625,99.5572886791498
5,6.944,100,85,486.36874,254.4990234375,99.64711359536257
5,7.034,100,85,487.31128,253.98138427734375,99.55420649702062
5,7.179,100,85,484.068,268.33642578125,97.19892183098212
5,7.276,100,85,480.5368,299.81561279296875,94.59687883716376
5,7.382,100,85,479.8554,317.139892578125,91.83264510445852
5,7.503,100,85,480.2385,343.79656982421875,89.79596601310757
6,7.609,90,90,480.2385,343.79656982421875,89.79596601310757
6,7.647,90,90,480.2385,343.79656982421875,89.79596601310757
6,7.704,90,90,481.36,392.2332763671875,84.11882672730256
6,7.781,90,90,481.36,392.2332763671875,84.11882672730256
6,7.836,90,90,482.7618,402.955322265625,80.40852670732052
6,7.939,90,90,482.7618,402.955322265625,80.40852670732052
6,8.001,90,90,482.73465,404.35040283203125,80.14963463388408
6,8.128,90,90,482.4639,404.77337646484375,80.13949103607557
7,8.234,83,101,483.05667,404.59075927734375,80.15888477860892
7,8.359,83,101,483.1929,397.6177978515625,82.05678394089135
7,8.442,83,101,483.1929,397.6177978515625,82.05678394089135
7,8.508,83,101,479.4081,371.67724609375,85.59534240860488
7,8.59,83,101,479.4081,371.67724609375,85.59534240860488
7,8.66,83,101,478.87943,331.97991943359375,91.85149161163463
7,8.74,83,101,478.87943,331.97991943359375,91.85149161163463
8,8.807,90,90,480.43018,304.79620361328125,96.58481238168429
8,8.9,90,90,480.43018,304.79620361328125,96.58481238168429
8,8.971,90,90,486.72482,267.39422607421875,103.87962584756812
8,9.079,90,90,486.72482,267.39422607421875,103.87962584756812
8,9.159,90,90,489.88547,256.65899658203125,108.35465288892813
8,9.256,90,90,489.45035,256.9788818359375,108.33318445657315
9,9.38,100,85,488.94434,257.17547607421875,108.35558504650942
9,9.482,100,85,488.24454,259.7559814453125,105.66445880886086
9,9.558,100,85,488.24454,259.7559814453125,105.66445880886086
9,9.596,100,85,488.24454,259.7559814453125,105.66445880886086
9,9.65,100,85,479.87622,296.4339599609375,102.86279430212069
9,9.754,100,85,475.92575,314.38641357421875,100.95725295451152
9,9.888,100,85,471.6799,341.6644287109375,98.20954114402713
9,9.958,100,85,471.6799,341.6644287109375,98.20954114402713
10,10.052,90,90,467.41275,379.38140869140625,94.80978170649104
10,10.183,90,90,464.579,406.9017333984375,91.33991076170578
